method,path,body,single_q,double_q,dashes,braces,spaces,url_length,body_length,base64_count,path_entropy,body_entropy,header_count,sql_injection_count,xss_attack_count,command_injection_count,directory_traversal_count,csrf_count,label
GET,/,0,0,0,0,0,0,1,1,0,0,0,15,0,0,0,0,0,0
GET,/,0,0,0,0,0,0,1,1,0,0,0,15,0,0,0,0,0,0
GET,/favicon.ico,0,0,0,0,0,0,12,1,0,3.084962501,0,15,0,0,0,0,1,1
GET,/connecttest.txt,0,0,0,0,0,0,16,1,0,2.89939747,0,3,0,0,0,0,0,0
GET,/connecttest.txt,0,0,0,0,0,0,16,1,0,2.89939747,0,3,0,0,0,0,0,0
GET,/connecttest.txt,0,0,0,0,0,0,16,1,0,2.89939747,0,3,0,0,0,0,0,0
GET,/,0,0,0,0,0,0,1,1,0,0,0,8,0,0,0,0,0,0
GET,/acunetix-wvs-test-for-some-inexistent-file,0,0,0,0,0,0,43,1,0,3.812681546,0,8,1,0,0,0,0,1
GET,/acunetix-wvs-test-for-some-inexistent-file-second-try,0,0,0,0,0,0,54,1,0,3.911817364,0,8,1,0,0,0,0,1
GET,/,0,0,0,0,0,0,1,1,0,0,0,12,0,0,0,0,0,0
GET,/favicon.ico,0,0,0,0,0,0,12,1,0,3.084962501,0,12,0,0,0,0,0,0
GET,/index.jsp,0,0,0,0,0,0,10,1,0,3.321928095,0,13,0,0,0,0,1,1
GET,/search.jsp,0,0,0,0,0,0,11,1,0,3.277613437,0,13,0,0,0,0,1,1
GET,/search.jsp?query=,0,0,0,0,0,0,18,1,0,3.836591668,0,13,0,0,0,0,1,1
GET,/robots.txt,0,0,0,0,0,0,11,1,0,2.845350937,0,12,0,0,0,0,0,0
GET,/sitemap.xml,0,0,0,0,0,0,12,1,0,3.418295834,0,12,0,0,0,0,0,0
GET,/login.jsp,0,0,0,0,0,0,10,1,0,3.321928095,0,13,0,0,0,0,1,1
GET,/feedback.jsp,0,0,0,0,0,0,13,1,0,3.546593564,0,13,0,0,0,0,1,1
